name,wins,year
Adnan İncirmen,4,2008
Adnan İncirmen,4,2009
Ahmet Özen,4,2009
Adnan İncirmen,4,2010
Ahmet Özen,4,2010
Adnan İncirmen,4,2011
Ahmet Özen,4,2011
Adnan İncirmen,4,2012
Ahmet Özen,4,2012
Adnan İncirmen,4,2013
Ahmet Özen,4,2013
Adnan İncirmen,4,2014
Ahmet Özen,4,2014
Adnan İncirmen,4,2015
Ahmet Özen,4,2015
Adnan İncirmen,4,2016
Ahmet Özen,4,2016
Adnan İncirmen,4,2017
Ahmet Özen,4,2017
Adnan İncirmen,4,2018
Ahmet Özen,4,2018
Adnan İncirmen,4,2019
Ahmet Özen,4,2019
Ahmet Arıboğan,3,1961
Ahmet Arıboğan,3,1962
Ahmet Arıboğan,3,1963
Ahmet Arıboğan,3,1964
Ahmet Arıboğan,3,1965
Ahmet Arıboğan,3,1966
Ahmet Arıboğan,3,1967
Ahmet Arıboğan,3,1968
Ahmet Arıboğan,3,1969
Ahmet Arıboğan,3,1970
Ahmet Arıboğan,3,1971
Ahmet Arıboğan,3,1972
Ahmet Arıboğan,3,1973
Ahmet Arıboğan,3,1974
Ahmet Arıboğan,3,1975
Ahmet Arıboğan,3,1976
Ahmet Arıboğan,3,1977
Ahmet Arıboğan,3,1978
Ahmet Arıboğan,3,1979
Ahmet Arıboğan,3,1980
Ahmet Arıboğan,3,1981
Akın Barhan,3,1981
Ahmet Arıboğan,3,1982
Akın Barhan,3,1982
Ahmet Arıboğan,3,1983
Akın Barhan,3,1983
Ahmet Arıboğan,3,1984
Akın Barhan,3,1984
Ahmet Arıboğan,3,1985
Akın Barhan,3,1985
Ahmet Arıboğan,3,1986
Akın Barhan,3,1986
Ahmet Arıboğan,3,1987
Ahmet Asena,3,1987
Akın Barhan,3,1987
Ahmet Arıboğan,3,1988
Ahmet Asena,3,1988
Akın Barhan,3,1988
Ahmet Arıboğan,3,1989
Ahmet Asena,3,1989
Akın Barhan,3,1989
Ahmet Arıboğan,3,1990
Ahmet Asena,3,1990
Akın Barhan,3,1990
Ahmet Arıboğan,3,1991
Ahmet Asena,3,1991
Akın Barhan,3,1991
Ahmet Arıboğan,3,1992
Ahmet Asena,3,1992
Akın Barhan,3,1992
Ahmet Arıboğan,3,1993
Ahmet Asena,3,1993
Akın Barhan,3,1993
Ahmet Arıboğan,3,1994
Ahmet Asena,3,1994
Akın Barhan,3,1994
Ahmet Arıboğan,3,1995
Ahmet Asena,3,1995
Akın Barhan,3,1995
Ahmet Arıboğan,3,1996
Ahmet Asena,3,1996
Akın Barhan,3,1996
Ahmet Arıboğan,3,1997
Ahmet Asena,3,1997
Akın Barhan,3,1997
Ahmet Arıboğan,3,1998
Ahmet Asena,3,1998
Akın Barhan,3,1998
Ahmet Arıboğan,3,1999
Ahmet Asena,3,1999
Akın Barhan,3,1999
Abdullah Avcı,3,2000
Ahmet Arıboğan,3,2000
Ahmet Asena,3,2000
Akın Barhan,3,2000
Abdullah Avcı,3,2001
Ahmet Arıboğan,3,2001
Ahmet Asena,3,2001
Akın Barhan,3,2001
Abdullah Avcı,3,2002
Ahmet Arıboğan,3,2002
Ahmet Asena,3,2002
Akın Barhan,3,2002
Abdullah Avcı,3,2003
Ahmet Arıboğan,3,2003
Ahmet Asena,3,2003
Akın Barhan,3,2003
Abdullah Avcı,3,2004
Ahmet Arıboğan,3,2004
Ahmet Asena,3,2004
Ahmet Ziya Yüce,3,2004
Akın Barhan,3,2004
